# E (cm^-1)  g  stage  
 0.0000000    5.0    0     
 0.0196224    3.0    0     
 0.0281416    1.0    0  
 1.9673641    5.0    0  
 4.1897463    1.0    0  
 9.1460911    5.0    0  
 9.5213637    3.0    0  
 10.7402250   3.0    0  
 10.7404755   5.0    0  
 13.618055    4.0    1 
 16.94214     6.0    1 
 16.944622    4.0    1 
 18.635449    4.0    1 
 18.635695    2.0    1 
 28.475975    6.0    1 
 35.12112     1.0    2 
 35.135152    3.0    2 
 35.1590807   5.0    2 
 37.634685    5.0    2 
 40.475469    1.0    2 
 54.93554     2.0    3 
 54.98339     4.0    3 
 63.79295     2.0    3 
 63.8091      4.0    3 
 77.4135      1.0    4 
 87.57308     1.0    4 
 87.58995     3.0    4 
 87.62798     5.0    4 
113.8990      2.0    5 
125.84798     2.0    5 
